Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
RIT,UTI,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,Left,Away,Kenny Wilburn,P&R Roll Man,N/A,Roll,Liberty League,Empire 8,1,1.0,2025
RIT,UTI,Utica,2pMa,Dribble Jumper,Damien Call,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,2,2.0,2025
RIT,UTI,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,3,3.0,2025
RIT,UTI,Utica,3pmi,No Dribble Jumper,Dayion Thompson,Transition,N/A,Trailer,N/A,N/A,N/A,N/A,Liberty League,Empire 8,4,4.0,2025
RIT,UTI,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,5,2.0,2025
RIT,UTI,Utica,3pMa,No Dribble Jumper,Dayion Thompson,PNR,Right,N/A,Hagen Foley,Spot Ups,N/A,Shot,Liberty League,Empire 8,6,4.0,2025
RIT,UTI,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Liberty League,Empire 8,7,1.0,2025
RIT,UTI,Utica,2pMa,To Basket,Levi Spina,Iso,Right,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,8,1.0,2025
RIT,UTI,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Matt Caggiano,PNR,High,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,9,4.0,2025
RIT,UTI,Utica,3pMa,No Dribble Jumper,Seidina Doukoure,Post,Left,Left Shoulder,Dayion Thompson,Spot Ups,N/A,Shot,Liberty League,Empire 8,10,4.0,2025
RIT,UTI,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Liberty League,Empire 8,11,3.0,2025
RIT,UTI,Utica,2pmi,To Basket,Damien Call,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A,Liberty League,Empire 8,12,1.0,2025
RIT,UTI,Utica,Foul,To Basket,Seidina Doukoure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberty League,Empire 8,13,1.0,2025
