Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction,OffensiveConference,DefensiveConference,PlayNumber,ShotLevel,Year
SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Maximus Michalski,Post,Middle,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,2,1.0,2025
SJC,UNY,Union (NY) Chargers,Turnover,N/A,Tanner Tedesco,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,3,1.0,2025
SJC,UNY,St. John Fisher Cardinals,2pmi,To Basket,Maxwell Schneider,PNR,Left,Off,Parker Rey,Cuts,N/A,Flash,Empire 8,Liberty League,4,1.0,2025
SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Christian Dufort,Off Screens,Left,Straight,N/A,N/A,N/A,N/A,Empire 8,Liberty League,6,1.0,2025
SJC,UNY,Union (NY) Chargers,3pmi,Dribble Jumper,Tanner Tedesco,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A,Empire 8,Liberty League,7,4.0,2025
SJC,UNY,St. John Fisher Cardinals,Turnover,To Basket,josh Lopez,PNR,Right,Off,Parker Rey,P&R Roll Man,N/A,Roll,Empire 8,Liberty League,8,1.0,2025
SJC,UNY,Union (NY) Chargers,2pMa,To Basket,Jack Plesser,Cuts,N/A,Screen,N/A,N/A,N/A,N/A,Empire 8,Liberty League,9,1.0,2025
SJC,UNY,St. John Fisher Cardinals,3pmi,No Dribble Jumper,Maxwell Schneider,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A,Empire 8,Liberty League,10,4.0,2025
SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,josh Lopez,PNR,Left,Off,Maximus Michalski,P&R Roll Man,N/A,Roll,Empire 8,Liberty League,12,1.0,2025
SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,13,1.0,2025
SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Brendan Reid,Cuts,N/A,Basket,N/A,N/A,N/A,N/A,Empire 8,Liberty League,15,1.0,2025
SJC,UNY,St. John Fisher Cardinals,Turnover,N/A,josh Lopez,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A,Empire 8,Liberty League,16,1.0,2025
SJC,UNY,Union (NY) Chargers,2pMa,Dribble Jumper,Jaden Jauregui,PNR,High,Off,N/A,N/A,N/A,N/A,Empire 8,Liberty League,17,2.0,2025
SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Connor Williams,Misc,N/A,N/A,N/A,N/A,N/A,N/A,Empire 8,Liberty League,19,1.0,2025
SJC,UNY,Union (NY) Chargers,3pMa,No Dribble Jumper,Tanner Tedesco,PNR,Left,Off,Brendan Reid,Spot Ups,N/A,Shot,Empire 8,Liberty League,20,4.0,2025
SJC,UNY,St. John Fisher Cardinals,2pmi,Drop Step,Connor Williams,Post,Right,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,21,1.0,2025
SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Eric Kegler,PNR,Right,Off,josh Lopez,Spot Ups,Left,Drive,Empire 8,Liberty League,22,1.0,2025
SJC,UNY,Union (NY) Chargers,3pmi,No Dribble Jumper,Jaden Jauregui,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A,Empire 8,Liberty League,23,4.0,2025
SJC,UNY,St. John Fisher Cardinals,Turnover,To Basket,Connor Williams,Post,Left,Left Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,24,1.0,2025
SJC,UNY,Union (NY) Chargers,2pmi,To Basket,Tanner Tedesco,PNR,Left,Off,Jack Plesser,P&R Roll Man,N/A,Slips,Empire 8,Liberty League,25,1.0,2025
SJC,UNY,St. John Fisher Cardinals,2pMa,To Basket,Connor Williams,Post,Right,Right Shoulder,N/A,N/A,N/A,N/A,Empire 8,Liberty League,26,1.0,2025
SJC,UNY,Union (NY) Chargers,2pmi,Dribble Jumper,Tanner Tedesco,PNR,High,Off,Jaden Jauregui,Spot Ups,Left,Drive,Empire 8,Liberty League,27,2.0,2025
